Product_Name                                       MRP     Discount Perecent availableQuantity discountedSellingPrice weightInGms outOfStock quantity
-------------------------------------------------- ------ ------------------ ----------------- ---------------------- ----------- ---------- --------
Papaya Cut                                         46     15                 3                 39                     200         0          200
Pomegranate Peeled                                 58     15                 2                 49                     100         0          100
Pear Green Imported                                82     15                 3                 69                     116         0          2
Guava Thai                                         70     15                 3                 59                     116         0          2
Lettuce Red                                        20     15                 3                 17                     100         0          100
Mango Raw                                          60     16                 3                 50                     500         0          500
Biryani /Pulav Mix                                 58     15                 3                 49                     250         0          250
Banana Nendran                                     54     16                 6                 45                     500         0          500
Pumpkin Cut                                        30     16                 3                 25                     200         0          200
Banana Red                                         54     16                 6                 45                     500         0          500
Radish White                                       23     17                 6                 19                     500         0          500
Avocado Indian Premium                             177    15                 3                 149                    58          0          1
Banana Leaf                                        12     16                 2                 10                     58          0          1
Sponge Gourd                                       25     16                 2                 21                     300         0          300
Zama Organics Carrot                               20     15                 3                 17                     250         0          250
Safal Frozen - Mixed Vegetables                    110    4                  2                 105                    1000        0          1
Zama Organics Sweet Potato                         37     16                 3                 31                     250         0          250
Beetroot                                           16     18                 3                 13                     500         0          500
Capsicum                                           26     19                 3                 21                     500         0          500
Carrot                                             19     21                 3                 15                     500         0          500
Garlic                                             17     23                 3                 13                     200         0          200
Carrot                                             13     15                 0                 11                     250         1          200
Beetroot                                           11     18                 0                 9                      250         1          250
Moong Sprouts                                      35     17                 0                 29                     200         1          200
Safal Frozen Mixed Vegetables                      60     5                  0                 57                     500         1          500
Safal Frozen Corn                                  41     4                  0                 39                     200         1          200
Safal Frozen - Sweet Corn                          160    5                  0                 152                    1000        1          1
Onion                                              25     16                 3                 21                     1000        0          1
Tomato Hybrid                                      42     16                 3                 35                     1000        0          1
Tender Coconut                                     51     15                 3                 43                     58          0          1
Coriander Leaves                                   20     15                 3                 17                     100         0          100
Ladies Finger                                      14     14                 3                 12                     250         0          250
Potato                                             35     17                 3                 29                     1000        0          1
Lemon                                              75     16                 3                 63                     200         0          200
Watermelon                                         58     15                 3                 49                     58          0          1
Capsicum Green                                     23     17                 3                 19                     250         0          250
Chilli Green                                       19     15                 3                 16                     100         0          100
Banana Robusta                                     29     17                 3                 24                     348         0          6
Garlic Indian                                      11     18                 3                 9                      100         0          100
Cauliflower                                        26     15                 3                 22                     58          0          1
Ginger                                             14     14                 3                 12                     200         0          200
Spinach                                            19     15                 3                 16                     250         0          250
Muskmelon                                          42     16                 3                 35                     58          0          1
Cabbage                                            15     13                 3                 13                     58          0          1
Methi                                              30     16                 3                 25                     250         0          250
Broccoli                                           36     16                 3                 30                     500         0          500
Sapota                                             30     16                 3                 25                     348         0          6
Onion                                              68     16                 3                 57                     3000        0          3
Potato                                             100    16                 3                 84                     3000        0          3
Orange Nagpur                                      82     15                 3                 69                     232         0          4
Mint Leaves                                        11     18                 3                 9                      100         0          100
Beans French                                       33     15                 3                 28                     250         0          250
Bottle Gourd                                       26     15                 3                 22                     58          0          1
Banana Elaichi                                     58     15                 3                 49                     348         0          6
Coconut Big                                        36     16                 3                 30                     58          0          1
Curry Leaves                                       13     15                 3                 11                     50          0          50
Brinjal Bharta                                     19     15                 3                 16                     58          0          1
Lettuce Iceberg                                    25     16                 3                 21                     250         0          250
Papaya                                             54     16                 3                 45                     58          0          1
Apple Shimla                                       142    16                 3                 119                    232         0          4
Bitter Gourd                                       18     16                 3                 15                     250         0          250
Brinjal Small                                      18     16                 3                 15                     250         0          250
Sweet Corn                                         36     16                 3                 30                     116         0          2
Spring Onion                                       18     16                 3                 15                     250         0          250
Bell Peppers Red & Yellow                          118    16                 3                 99                     116         0          2
Pomegranate                                        106    16                 3                 89                     116         0          2
Sweet Lime                                         30     16                 3                 25                     116         0          2
Baby Potato                                        19     15                 3                 16                     500         0          500
Coccinia                                           32     15                 3                 27                     250         0          250
Guava                                              54     16                 3                 45                     232         0          4
Apple Washington                                   177    15                 3                 149                    232         0          4
Amla                                               32     15                 3                 27                     250         0          250
Beans Cluster                                      30     16                 3                 25                     250         0          250
Apple Royal Gala                                   189    15                 3                 159                    232         0          4
Chilli Bhaji                                       30     16                 3                 25                     250         0          250
Lettuce Green                                      23     17                 3                 19                     100         0          100
Baby Corn Peeled                                   35     17                 3                 29                     250         0          250
Mixed Sprouts                                      35     17                 3                 29                     200         0          200
Zucchini Green                                     35     17                 3                 29                     250         0          250
Beans Broad                                        42     16                 3                 35                     250         0          250
Raw Banana                                         20     15                 6                 17                     500         0          500
Colocasia                                          29     17                 6                 24                     500         0          500
Tomato Cherry                                      35     17                 3                 29                     200         0          200
Sweet Potato                                       38     15                 3                 32                     500         0          500
Pineapple Slice                                    89     15                 3                 75                     200         0          200
Orange                                             54     16                 3                 45                     116         0          2
Dragon Fruit Imported                              70     15                 3                 59                     58          0          1
Zucchini Yellow                                    42     16                 3                 35                     250         0          500
Apple Kinnaur                                      142    16                 6                 119                    232         0          4
Pineapple                                          94     15                 3                 79                     58          0          1
Basil                                              20     15                 3                 17                     100         0          100
Parsley                                            17     17                 3                 14                     100         0          100
Ridge Gourd                                        30     16                 3                 25                     500         0          500
Papaya Cut                                         46     15                 3                 39                     200         0          200
Pomegranate Peeled                                 58     15                 2                 49                     100         0          100
Pear Green Imported                                82     15                 3                 69                     116         0          2
Guava Thai                                         70     15                 3                 59                     116         0          2
Lettuce Red                                        20     15                 3                 17                     100         0          100
Mango Raw                                          60     16                 3                 50                     500         0          500
Biryani /Pulav Mix                                 58     15                 3                 49                     250         0          250
Banana Nendran                                     54     16                 6                 45                     500         0          500
Pumpkin Cut                                        30     16                 3                 25                     200         0          200
Banana Red                                         54     16                 6                 45                     500         0          500
Radish White                                       23     17                 6                 19                     500         0          500
Avocado Indian Premium                             177    15                 3                 149                    58          0          1
Banana Leaf                                        12     16                 2                 10                     58          0          1
Sponge Gourd                                       25     16                 2                 21                     300         0          300
Zama Organics Carrot                               20     15                 3                 17                     250         0          250
Safal Frozen - Mixed Vegetables                    110    4                  2                 105                    1000        0          1
Zama Organics Sweet Potato                         37     16                 3                 31                     250         0          250
Beetroot                                           16     18                 3                 13                     500         0          500
Capsicum                                           26     19                 3                 21                     500         0          500
Carrot                                             19     21                 3                 15                     500         0          500
Garlic                                             17     23                 3                 13                     200         0          200
Carrot                                             13     15                 0                 11                     250         1          200
Beetroot                                           11     18                 0                 9                      250         1          250
Moong Sprouts                                      35     17                 0                 29                     200         1          200
Safal Frozen Mixed Vegetables                      60     5                  0                 57                     500         1          500
Safal Frozen Corn                                  41     4                  0                 39                     200         1          200
Safal Frozen - Sweet Corn                          160    5                  0                 152                    1000        1          1

(186 rows affected)


Completion time: 2025-06-24T19:39:47.5387078+05:30
